DATA,AREA,PRODUCAO,CUSTO
2023-01-01,A,120,3000
2023-02-01,A,115,3200
2023-03-01,A,130,3100
2023-04-01,A,140,3300
2023-05-01,A,135,3400
2023-06-01,A,150,3500

2023-01-01,B,200,4200
2023-02-01,B,190,4300
2023-03-01,B,210,4100
2023-04-01,B,220,4400
2023-05-01,B,215,4500
2023-06-01,B,230,4600

2023-01-01,C,80,2500
2023-02-01,C,75,2600
2023-03-01,C,90,2550
2023-04-01,C,95,2700
2023-05-01,C,100,2800
2023-06-01,C,105,2900

2024-01-01,A,160,3600
2024-02-01,A,155,3700
2024-03-01,A,170,3650
2024-04-01,A,180,3800

2024-01-01,B,240,4700
2024-02-01,B,235,4800
2024-03-01,B,250,4900
2024-04-01,B,260,5000

2024-01-01,C,110,3000
2024-02-01,C,105,3100
2024-03-01,C,120,3200
2024-04-01,C,125,3300

